N,p,M,seed,tasks,avg_steps,prob_reach_bottom,total_time_s,wall_time_s,mpirun_rc
100,0.45,200,42004,8,19.695,0,0.0907594,0.298047, 
100,0.45,200,42003,8,18.535,0,0.0932622,0.331964, 
100,0.45,200,42002,8,17.675,0,0.0916498,0.336746, 
100,0.45,200,42000,8,19.54,0,0.0990939,0.343174, 
100,0.45,200,42005,8,18.525,0,0.0816694,0.280142, 
100,0.45,200,42009,8,18.44,0,0.0851943,0.305054, 
100,0.45,200,42001,8,18.165,0,0.0864282,0.273230, 
100,0.45,200,42008,8,17.98,0,0.0804146,0.300708, 
100,0.45,200,42006,8,18.35,0,0.0943143,0.356321, 
100,0.45,200,42007,8,18.035,0,0.0903687,0.344371, 
100,0.80,200,42004,8,122.14,1,0.560287,0.798230, 
100,0.80,200,42003,8,121.93,1,0.574907,0.842323, 
100,0.80,200,42002,8,122.29,1,0.514063,0.704181, 
100,0.80,200,42000,8,122.075,1,0.564484,0.818292, 
100,0.80,200,42005,8,122.42,1,0.570488,0.807769, 
100,0.80,200,42009,8,122.09,1,0.476486,0.656832, 
100,0.80,200,42001,8,122.165,1,0.501411,0.701293, 
100,0.80,200,42008,8,122.185,1,0.559117,0.810740, 
100,0.80,200,42006,8,122.235,1,0.55865,0.790986, 
100,0.80,200,42007,8,122.2,1,0.559199,0.818632, 
100,0.40,200,42004,8,12.555,0,0.0625087,0.241660, 
100,0.40,200,42003,8,12.595,0,0.0615142,0.254954, 
100,0.40,200,42002,8,12.375,0,0.0654321,0.307010, 
100,0.40,200,42000,8,12.29,0,0.0652123,0.327887, 
100,0.40,200,42005,8,12.485,0,0.0716313,0.329085, 
100,0.40,200,42009,8,12.495,0,0.0635906,0.323112, 
100,0.40,200,42001,8,12.485,0,0.0649058,0.326039, 
100,0.40,200,42008,8,11.875,0,0.0549614,0.245092, 
100,0.40,200,42006,8,12.155,0,0.088363,0.367835, 
100,0.40,200,42007,8,12.615,0,0.145432,0.347623, 
100,0.50,200,42004,8,31.43,0,0.149416,0.403851, 
100,0.50,200,42003,8,29.645,0,0.147722,0.354669, 
100,0.50,200,42002,8,29.805,0,0.129002,0.318759, 
100,0.50,200,42000,8,33.34,0,0.159268,0.418098, 
100,0.50,200,42005,8,29.675,0,0.143161,0.381342, 
100,0.50,200,42009,8,30.25,0,0.130532,0.365357, 
100,0.50,200,42001,8,30.345,0,0.133441,0.313661, 
100,0.50,200,42008,8,28.955,0,0.127465,3.584858, 
100,0.50,200,42006,8,29.88,0,0.145468,0.384475, 
100,0.50,200,42007,8,30.23,0,0.132061,3.587579, 
100,0.58,400,42003,8,136.933,0.2425,1.12369,1.299605, 
100,0.58,100,42001,8,139.23,0.24,0.323012,0.578397, 
100,0.58,200,42004,8,130.72,0.195,0.586072,0.819982, 
100,0.58,200,42003,8,140.02,0.24,0.571307,0.746859, 
100,0.58,50,42003,8,139.56,0.22,0.137756,0.314130, 
100,0.58,50,42000,8,131.86,0.26,0.146543,0.385721, 
100,0.58,400,42000,8,133.407,0.2225,1.17742,1.413507, 
100,0.58,50,42008,8,129.22,0.22,0.146314,0.414506, 
100,0.58,50,42007,8,134.26,0.24,0.146613,0.356858, 
100,0.58,200,42002,8,141.985,0.24,0.575217,0.760404, 
100,0.58,200,42000,8,133.39,0.22,0.596685,0.861153, 
100,0.58,50,42006,8,144.28,0.24,0.144538,0.339277, 
100,0.58,400,42009,8,134.015,0.215,1.16587,1.400175, 
100,0.58,50,42002,8,138.98,0.2,0.144327,0.320081, 
100,0.58,400,42008,8,133.722,0.225,1.2328,1.479227, 
100,0.58,100,42006,8,137.44,0.23,0.27739,0.448285, 
100,0.58,400,42005,8,132.235,0.2175,1.14069,1.368385, 
100,0.58,100,42004,8,129.36,0.17,0.291373,0.522382, 
100,0.58,100,42008,8,131.44,0.22,0.295514,0.535820, 
100,0.58,100,42007,8,134.74,0.26,0.268604,0.457066, 
100,0.58,200,42005,8,128.095,0.195,0.545833,0.779850, 
100,0.58,100,42009,8,145.98,0.26,0.304746,0.529671, 
100,0.58,200,42009,8,135.67,0.23,0.586419,0.824668, 
100,0.58,400,42006,8,133.105,0.2175,1.04997,1.224893, 
100,0.58,100,42005,8,130.84,0.22,0.280552,0.516297, 
100,0.58,200,42001,8,145.895,0.265,0.671623,0.925827, 
100,0.58,200,42008,8,134.345,0.22,0.607679,0.863471, 
100,0.58,200,42006,8,133.6,0.25,0.551719,0.723291, 
100,0.58,50,42009,8,150.38,0.26,0.165351,0.392106, 
100,0.58,400,42007,8,135.678,0.24,1.11113,1.288020, 
100,0.58,400,42004,8,132.798,0.205,1.15739,1.403926, 
100,0.58,100,42003,8,141.9,0.23,0.290759,0.466690, 
100,0.58,400,42002,8,138.57,0.2625,1.12778,1.305326, 
100,0.58,50,42005,8,141.54,0.24,0.149383,0.391180, 
100,0.58,50,42001,8,137.32,0.22,0.157536,0.419241, 
100,0.58,400,42001,8,137.765,0.2375,1.22583,1.488592, 
100,0.58,100,42002,8,138.78,0.22,0.280538,0.450089, 
100,0.58,100,42000,8,129.48,0.24,0.281449,0.560876, 
100,0.58,200,42007,8,138.28,0.255,0.563787,0.736785, 
100,0.58,50,42004,8,126.2,0.08,0.144765,0.375623, 
100,0.75,200,42004,8,131.325,1,0.60413,0.862469, 
100,0.75,200,42003,8,130.795,1,0.538185,0.725986, 
100,0.75,200,42002,8,131.365,1,0.538366,0.715572, 
100,0.75,200,42000,8,131.415,1,0.59145,0.836331, 
100,0.75,200,42005,8,131.265,1,0.598657,0.843680, 
100,0.75,200,42009,8,131.2,1,0.59704,0.838251, 
100,0.75,200,42001,8,131.085,1,0.604863,0.864117, 
100,0.75,200,42008,8,130.83,1,0.596738,0.837584, 
100,0.75,200,42006,8,130.82,1,0.528288,0.702371, 
100,0.75,200,42007,8,131.26,1,0.547339,0.721241, 
100,0.60,400,42003,8,193.512,0.6675,1.64422,1.888529, 
100,0.60,100,42001,8,190.02,0.68,0.386151,0.570978, 
100,0.60,200,42004,8,200.175,0.72,0.82802,1.070643, 
100,0.60,200,42003,8,199.565,0.695,0.853308,1.085678, 
100,0.60,50,42003,8,207.56,0.68,0.225016,0.482687, 
100,0.60,50,42000,8,178.6,0.58,0.186128,0.379624, 
100,0.60,400,42000,8,189.433,0.645,1.52474,1.693607, 
100,0.60,50,42008,8,213.38,0.78,0.239182,0.520374, 
100,0.60,50,42007,8,199.66,0.68,0.22822,0.497051, 
100,0.60,200,42002,8,190.76,0.635,0.82881,1.074655, 
100,0.60,200,42000,8,190.29,0.635,0.765052,0.933331, 
100,0.60,50,42006,8,193.94,0.68,0.195926,0.365520, 
100,0.60,400,42009,8,195.1,0.7125,1.72586,1.984821, 
100,0.60,50,42002,8,178.92,0.6,0.198955,0.443050, 
100,0.60,400,42008,8,197.333,0.71,1.71235,1.970214, 
100,0.60,100,42006,8,190.85,0.63,0.380649,0.566113, 
100,0.60,400,42005,8,186.863,0.6525,1.5244,1.703355, 
100,0.60,100,42004,8,200.87,0.7,0.442152,0.681216, 
100,0.60,100,42008,8,203.85,0.75,0.451219,0.694567, 
100,0.60,100,42007,8,197.68,0.67,0.43819,0.691768, 
100,0.60,200,42005,8,179.35,0.595,0.720112,0.889236, 
100,0.60,100,42009,8,202.54,0.8,0.446946,0.689724, 
100,0.60,200,42009,8,193.455,0.72,0.838265,1.078151, 
100,0.60,400,42006,8,191.205,0.655,1.47745,1.649160, 
100,0.60,100,42005,8,178.8,0.61,0.365289,0.546494, 
100,0.60,200,42001,8,192.005,0.72,0.782151,0.956509, 
100,0.60,200,42008,8,200.38,0.765,0.875012,1.117011, 
100,0.60,200,42006,8,192.065,0.66,0.759359,0.928501, 
100,0.60,50,42009,8,212.46,0.88,0.258755,0.512055, 
100,0.60,400,42007,8,189.167,0.6375,1.7729,2.087963, 
100,0.60,400,42004,8,197.877,0.695,1.6896,1.914951, 
100,0.60,100,42003,8,197.33,0.67,0.437328,0.666783, 
100,0.60,400,42002,8,189.852,0.68,1.69515,2.959547, 
100,0.60,50,42005,8,176.64,0.56,0.182344,0.358080, 
100,0.60,50,42001,8,186.86,0.62,0.179845,0.354848, 
100,0.60,400,42001,8,188.732,0.675,1.53602,1.710702, 
100,0.60,100,42002,8,188.88,0.64,0.425969,0.684709, 
100,0.60,100,42000,8,184.33,0.61,0.380215,0.557848, 
100,0.60,200,42007,8,190.42,0.65,0.86324,1.108482, 
100,0.60,50,42004,8,206.06,0.72,0.229135,0.523760, 
100,0.65,200,42004,8,174.155,1,0.703464,1.005907, 
100,0.65,200,42003,8,170.765,0.995,0.682913,0.861837, 
100,0.65,200,42002,8,173.79,1,0.717585,0.894287, 
100,0.65,200,42000,8,174.34,1,0.697949,0.876441, 
100,0.65,200,42005,8,173.145,1,0.743675,0.996391, 
100,0.65,200,42009,8,172.785,1,0.767667,1.023580, 
100,0.65,200,42001,8,172.86,1,0.70681,0.879779, 
100,0.65,200,42008,8,170.26,1,0.772208,1.002038, 
100,0.65,200,42006,8,174.295,1,0.778359,1.038579, 
100,0.65,200,42007,8,177.13,1,0.747043,1.004539, 
100,0.70,200,42004,8,145.075,1,0.643767,0.903618, 
100,0.70,200,42003,8,144.735,1,0.583919,0.771628, 
100,0.70,200,42002,8,144.905,1,0.593012,0.770205, 
100,0.70,200,42000,8,145.33,1,0.588982,0.763851, 
100,0.70,200,42005,8,144.945,1,0.678217,0.918351, 
100,0.70,200,42009,8,144.8,1,0.642285,0.882681, 
100,0.70,200,42001,8,145.075,1,0.666672,0.925433, 
100,0.70,200,42008,8,144.91,1,0.69951,0.965322, 
100,0.70,200,42006,8,145.75,1,0.676531,0.945902, 
100,0.70,200,42007,8,145.495,1,0.642203,0.906074, 
100,0.55,200,42004,8,64.69,0,0.268531,0.462186, 
100,0.55,200,42003,8,68.745,0.01,0.280974,0.457020, 
100,0.55,200,42002,8,70.03,0.01,0.293402,0.477498, 
100,0.55,200,42000,8,65.19,0.005,0.276992,0.510912, 
100,0.55,200,42005,8,67.61,0.015,0.318798,0.561512, 
100,0.55,200,42009,8,67.135,0.005,0.310817,0.557122, 
100,0.55,200,42001,8,70.48,0.025,0.324953,0.582590, 
100,0.55,200,42008,8,67.46,0,0.279545,0.465177, 
100,0.55,200,42006,8,68.98,0.005,0.293528,0.475578, 
100,0.55,200,42007,8,65.38,0.005,0.277649,0.458874, 
100,0.62,400,42003,8,203.662,0.94,1.76093,1.996474, 
100,0.62,100,42001,8,201.04,0.92,0.449341,0.676892, 
100,0.62,200,42004,8,205.46,0.95,0.924137,1.169385, 
100,0.62,200,42003,8,202.38,0.95,0.850642,1.074308, 
100,0.62,50,42003,8,203.18,0.9,0.222441,0.454267, 
100,0.62,50,42000,8,207.98,0.92,0.261686,0.447201, 
100,0.62,400,42000,8,205.875,0.9475,1.65272,2.061221, 
100,0.62,50,42008,8,208.72,0.96,0.224904,0.462558, 
100,0.62,50,42007,8,197.22,0.94,0.222717,0.529277, 
100,0.62,200,42002,8,209.45,0.965,0.848313,1.029425, 
100,0.62,200,42000,8,205.725,0.945,0.833342,1.005952, 
100,0.62,50,42006,8,204.9,0.94,0.239547,0.443986, 
100,0.62,400,42009,8,201.528,0.95,1.7705,2.028823, 
100,0.62,50,42002,8,206.48,0.96,0.21113,0.393486, 
100,0.62,400,42008,8,202.928,0.965,1.67363,1.909790, 
100,0.62,100,42006,8,203.07,0.95,0.399374,0.576885, 
100,0.62,400,42005,8,203.387,0.96,1.61287,1.794504, 
100,0.62,100,42004,8,202.41,0.92,0.455322,0.685937, 
100,0.62,100,42008,8,208.39,0.97,0.474335,0.711551, 
100,0.62,100,42007,8,201.26,0.95,0.447775,0.686850, 
100,0.62,200,42005,8,203.02,0.955,0.796474,0.979494, 
100,0.62,100,42009,8,199.79,0.97,0.456146,0.715205, 
100,0.62,200,42009,8,202.03,0.955,0.899255,1.146274, 
100,0.62,400,42006,8,203.58,0.935,1.64061,1.814446, 
100,0.62,100,42005,8,204.62,0.94,0.418945,0.588674, 
100,0.62,200,42001,8,201.595,0.935,0.827992,1.060243, 
100,0.62,200,42008,8,202.895,0.97,0.863756,1.107664, 
100,0.62,200,42006,8,202.965,0.95,0.820082,1.003876, 
100,0.62,50,42009,8,197.58,1,0.221476,0.464595, 
100,0.62,400,42007,8,203.447,0.9325,1.64103,1.825905, 
100,0.62,400,42004,8,204.678,0.945,1.86149,2.128862, 
100,0.62,100,42003,8,201.15,0.92,0.42902,0.653509, 
100,0.62,400,42002,8,206.135,0.9625,1.66365,1.833499, 
100,0.62,50,42005,8,198.82,0.92,0.207731,0.378665, 
100,0.62,50,42001,8,195.98,0.84,0.211749,0.441548, 
100,0.62,400,42001,8,200.71,0.94,1.75841,1.983130, 
100,0.62,100,42002,8,208.76,0.96,0.409302,0.583886, 
100,0.62,100,42000,8,201.17,0.93,0.409849,0.589502, 
100,0.62,200,42007,8,200.495,0.935,0.808168,0.998020, 
100,0.62,50,42004,8,196.42,0.9,0.240417,0.515256, 
500,0.45,100,52000,16,29.37,0,0.572245,0.917669,
500,0.45,100,52004,16,28.8,0,0.555417,0.775210,
500,0.45,100,52002,16,28.97,0,0.56128,0.906526,
500,0.45,100,52003,16,29.61,0,0.57859,2.300042,
500,0.45,100,52001,16,29.29,0,0.599689,0.896224,
500,0.80,100,52000,16,584.82,1,9.93552,10.200661,
500,0.8,100,52004,16,584.71,1,9.73815
500,0.80,100,52002,16,584.77,1,11.2163,11.501374,
500,0.80,100,52003,16,584.6,1,10.3341,10.537896,
500,0.80,100,52001,16,584.51,1,9.89439,10.145114,
500,0.40,100,52000,16,20,0,0.472424,0.722480,
500,0.40,100,52004,16,19.5,0,0.360529,0.603653,
500,0.40,100,52002,16,18.91,0,0.353011,0.643818,
500,0.40,100,52003,16,18.91,0,0.358282,0.639291,
500,0.40,100,52001,16,19.23,0,0.409807,0.618241,
500,0.50,100,52000,16,51.34,0,1.00842,1.231179,
500,0.5,100,52004,16,54.69,0,1.09649
500,0.50,100,52002,16,48.68,0,1.16347,1.424194,
500,0.50,100,52003,16,50.86,0,1.11211,1.339732,
500,0.50,100,52001,16,50.5,0,1.01335,1.283753,
500,0.58,200,52003,16,440.395,0.005,18.576,18.769718,
500,0.58,100,52000,16,436,0,8.67908,8.955309,
500,0.58,50,52003,16,459.48,0.02,4.80678,4.999920,
500,0.58,200,52002,16,435.405,0.005,19.7822,22.071389,
500,0.58,100,52004,16,441.97,0,8.5898,8.825141,0
500,0.58,25,52003,16,495.88,0.04,2.60508,2.829276,
500,0.58,100,52002,16,421.05,0.01,9.40383,9.659211,
500,0.58,25,52002,16,383.56,0,2.1656,2.480100,
500,0.58,200,52004,16,425.535,0,16.7843,17.046014,0
500,0.58,25,52004,16,404.52,0,2.07073
500,0.58,200,52001,16,438.24,0,17.4979,17.751423,
500,0.58,25,52000,16,403.8,0,2.02114,2.268987,
500,0.58,100,52003,16,451.48,0.01,9.60423,9.804646,
500,0.58,50,52004,16,436.2,0,4.34838,4.640271,0
500,0.58,25,52001,16,443.24,0,2.18898,2.446798,
500,0.58,100,52001,16,453.41,0,8.84929,9.142557,
500,0.58,50,52002,16,398.04,0,4.28068,4.544955,
500,0.58,200,52000,16,420.54,0,16.4486,16.724569,
500,0.58,50,52000,16,419.28,0,4.11702,4.366322,
500,0.58,50,52001,16,390.62,0,3.80022,4.075656,
500,0.75,100,52000,16,619.18,1,10.682,10.958605,
500,0.75,100,52004,16,618.54,1,10.7553,11.037224,
500,0.75,100,52002,16,619.7,1,10.9983,11.254972,
500,0.75,100,52003,16,619.57,1,11.4367,11.661596,
500,0.75,100,52001,16,619.24,1,12.3657,14.259994,
500,0.60,200,52003,16,1250.01,0.895,44.9835,45.244763,
500,0.60,100,52000,16,1280.82,0.97,22.981,23.227814,
500,0.60,50,52003,16,1214.76,0.92,11.3196,11.583581,
500,0.60,200,52002,16,1267.5,0.935,53.8411,54.106180,
500,0.60,100,52004,16,1233.44,0.89,66.8857,69.053690,0
500,0.60,25,52003,16,1219.68,0.92,5.59626,5.865215,
500,0.60,100,52002,16,1264.1,0.92,26.659,26.932165,
500,0.60,25,52002,16,1232.68,0.96,6.62636,6.897687,
500,0.60,200,52004,16,1267.92,0.915,45.4755,45.752142,0
500,0.60,25,52004,16,1316.92,0.96,6.18764,6.448050,
500,0.60,200,52001,16,1239,0.92,49.317,49.539012,
500,0.60,25,52000,16,1371.76,0.96,6.11704,6.369386,
500,0.60,100,52003,16,1231.01,0.93,21.9803,22.214538,
500,0.6,50,52004,16,1263.86,0.88,11.5317
500,0.60,25,52001,16,1273.52,1,6.33207,6.543976,
500,0.60,100,52001,16,1253.96,0.96,24.8581,25.115793,
500,0.60,50,52002,16,1244.4,0.96,13.3119,13.573271,
500,0.60,200,52000,16,1273.53,0.96,46.6865,46.928559,
500,0.60,50,52000,16,1327.54,0.98,12.1296,12.397365,
500,0.60,50,52001,16,1256.86,0.96,12.4095,12.614915,
500,0.65,100,52000,16,771,1,13.8976,14.142900,
500,0.65,100,52004,16,769.17,1,14.2382,14.489659,
500,0.65,100,52002,16,769.27,1,14.0339,14.297308,
500,0.65,100,52003,16,769.67,1,13.6459,13.887882,
500,0.65,100,52001,16,773.12,1,13.6689,13.911443,
500,0.70,100,52000,16,670.21,1,11.7525,12.038754,
500,0.7,100,52004,16,670.27,1,13.0042
500,0.70,100,52002,16,670.74,1,12.0692,12.331995,
500,0.70,100,52003,16,670.78,1,12.7507,12.988919,
500,0.70,100,52001,16,669.57,1,11.874,12.146203,
500,0.55,100,52000,16,135.01,0,2.65988,2.921008,
500,0.55,100,52004,16,136.7,0,2.60389,2.834098,
500,0.55,100,52002,16,122.3,0,2.8101,3.076141,
500,0.55,100,52003,16,132.94,0,2.5905,2.829382,
500,0.55,100,52001,16,132.36,0,2.86699,3.081927,
500,0.62,200,52003,16,939.015,1,32.9217,33.188108,
500,0.62,100,52000,16,926.37,1,16.512
500,0.62,50,52003,16,949.22,1,8.78799,9.027544,
500,0.62,200,52002,16,930.28,1,34.3735,34.650917,
500,0.62,100,52004,16,931.65,1,18.204,18.420486,
500,0.62,25,52003,16,955.76,1,4.44617,4.729578,
500,0.62,100,52002,16,931.94,1,17.1324,17.397863,
500,0.62,25,52002,16,930.84,1,4.34521,4.588988,
500,0.62,200,52004,16,928.08,1,36.3332,36.540951,
500,0.62,25,52004,16,938.68,1,4.56047,4.799344,
500,0.62,200,52001,16,931.635,1,33.7528,34.013316,
500,0.62,25,52000,16,927.16,1,4.28549,4.554076,
500,0.62,100,52003,16,939.83,1,17.5368,17.795547,
500,0.62,50,52004,16,938.32,1,9.10556,9.560076,
500,0.62,25,52001,16,927.12,1,4.18375,4.428555,
500,0.62,100,52001,16,926.46,1,17.4333,17.702210,
500,0.62,50,52002,16,933.4,1,8.52113,8.787961,
500,0.62,200,52000,16,923.65,1,34.3244,34.571447,0
500,0.62,50,52000,16,927.94,1,8.44226,8.693712,
500,0.62,50,52001,16,930.04,1,8.45221,8.706128,
